name,price,cashback(%),location,rating,sold,status,link,image,seller
Bango Kecap Manis 735ml Isi 3 Free Minyak 1L,Rp93.900,Cashback 5%,Dilayani Tokopedia,5.0,40+ terjual,Official Store,https://www.tokopedia.com/unilever/bango-kecap-manis-735ml-isi-3-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/1d8a00c1-adb6-432b-8d7f-c3da99391ae7.jpg,unilever
Bango Less Sugar Kecap Rendah Gula 520ml Free Minyak 1L,Rp74.500,Cashback 5%,Dilayani Tokopedia,5.0,6 terjual,Official Store,https://www.tokopedia.com/unilever/bango-less-sugar-kecap-rendah-gula-520ml-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/a3e502e5-3353-48af-b886-5f811029b262.jpg,unilever
Molto Pelembut & Pewangi Pakaian Pure 1600 Ml Free Minyak 1L,Rp166.800,Cashback 5%,Dilayani Tokopedia,4.9,30+ terjual,Official Store,https://www.tokopedia.com/unilever/molto-pelembut-pewangi-pakaian-pure-1600-ml-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/07d3312d-4f46-484f-8abb-ce3701a9cb27.jpg,unilever
Rinso Matic Deterjen Cair Mesin Bukaan Depan 1.45l Free Minyak 1L,Rp127.900,Cashback 5%,Dilayani Tokopedia,5.0,100+ terjual,Official Store,https://www.tokopedia.com/unilever/rinso-matic-deterjen-cair-mesin-bukaan-depan-1-45l-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/d2f186f8-76a2-4c8d-9982-a00fb938adf8.jpg,unilever
Rinso Matic Deterjen Bubuk Bukaan Depan 1.8Kg Free Minyak 1L,Rp146.300,Cashback 5%,Dilayani Tokopedia,5.0,50+ terjual,Official Store,https://www.tokopedia.com/unilever/rinso-matic-deterjen-bubuk-bukaan-depan-1-8kg-free-minyak-1l?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/725a61ed-099e-4b31-b72c-b2f55148d665.jpg,unilever
Molto All-In-1 Pink Pewangi & Pelembut 720Ml Free Daster Jessica Mila,Rp139.500,Cashback 5%,Dilayani Tokopedia,5.0,25 terjual,Official Store,https://www.tokopedia.com/unilever/molto-all-in-1-pink-pewangi-pelembut-720ml-free-daster-jessica-mila?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/7df8214e-c2ce-408a-8364-5d0c98945bc5.png,unilever
Molto Pelembut & Pewangi All-in-1 Blue 1600Ml Free Daster Jessica Mila,Rp170.300,Cashback 5%,Dilayani Tokopedia,5.0,30+ terjual,Official Store,https://www.tokopedia.com/unilever/molto-pelembut-pewangi-all-in-1-blue-1600ml-free-daster-jessica-mila?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/1b45f28f-4f39-4649-b3d1-ac77a44138df.png,unilever
Lifebuoy Shiso Mineral 400ml,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/lifebuoy-shiso-mineral-400ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/12/58c3d218-463e-4909-8d12-6bc9e35f0bb5.jpg,unilever
Lux Bluebell 400ml,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/lux-bluebell-400ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/12/420258bf-fd2f-4371-a135-f5a9ffb82424.jpg,unilever
Citra Natural Booster Body Serum Protect Glow SPF 20 PA++ 180 ML,Rp26.000,,Dilayani Tokopedia,5.0,26 terjual,Official Store,https://www.tokopedia.com/unilever/citra-natural-booster-body-serum-protect-glow-spf-20-pa-180-ml?extParam=whid%3D13056835%26src%3Dshop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/38a813e2-3cf9-4a32-9ce4-ddf45feef332.png,unilever
Citra Natural Booster Body Serum Complete Glow 180 ML,Rp26.000,,Dilayani Tokopedia,5.0,29 terjual,Official Store,https://www.tokopedia.com/unilever/citra-natural-booster-body-serum-complete-glow-180-ml?extParam=whid%3D13056835%26src%3Dshop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/13/2798d789-4a3d-4e8a-bc0d-49971ea6919e.jpg,unilever
Citra Natural Booster Body Serum Insta Glow 180 ML,Rp26.000,,Dilayani Tokopedia,5.0,26 terjual,Official Store,https://www.tokopedia.com/unilever/citra-natural-booster-body-serum-insta-glow-180-ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/bc908b18-7ced-47da-a14d-80d8f22cece8.jpg,unilever
Sunsilk Shampo Anti Ketombe Rambut Sehat dan Kuat Anti Dandruff 650ml,Rp75.600,Cashback 5%,Dilayani Tokopedia,5.0,15 terjual,Official Store,https://www.tokopedia.com/unilever/sunsilk-shampo-anti-ketombe-rambut-sehat-dan-kuat-anti-dandruff-650ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/3/2a61d6e9-d58a-4687-bca4-1e813d0028a5.jpg,unilever
Sunsilk Shampo Anti Ketombe Rambut Sehat dan Kuat Anti Dandruff 400ml,Rp45.400,Cashback 5%,Dilayani Tokopedia,5.0,22 terjual,Official Store,https://www.tokopedia.com/unilever/sunsilk-shampo-anti-ketombe-rambut-sehat-dan-kuat-anti-dandruff-400ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/3/7a00c5ce-6995-4fb2-80e9-8ef7ae149fab.jpg,unilever
Buy 2 Sariwangi Green Tea Free 1 Sariwangi Green Tea,Rp21.000,,Dilayani Tokopedia,5.0,15 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-sariwangi-green-tea-free-1-sariwangi-green-tea?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/19/941ad3b8-511f-40a9-9df3-ede792144a98.jpg,unilever
Buy 2 Sariwangi Mawar Free 1 Sariwangi Mawar,Rp11.500,,Dilayani Tokopedia,5.0,20 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-sariwangi-mawar-free-1-sariwangi-mawar?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/19/691eb252-e623-40dd-b855-07bf0c63c888.jpg,unilever
Buy 2 Vixal Ekstra Kuat 750ml FREE Vixal Ekstra Kuat 160ml,Rp32.800,Cashback 5%,Dilayani Tokopedia,5.0,30+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-vixal-ekstra-kuat-750ml-free-vixal-ekstra-kuat-160ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/93dfd2fb-046f-4c86-ab89-58a6a3ff9c16.jpg,unilever
Buy 2 Wipol Sereh&Jeruk 750Ml FREE Lunch Box,Rp35.700,Cashback 5%,Dilayani Tokopedia,5.0,21 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-wipol-sereh-jeruk-750ml-free-lunch-box?extParam=whid%3D13056835%26src%3Dshop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/9c3448a5-1edd-4e6c-8e8a-049a776dd251.jpg,unilever
Buy 2 Lifebuoy Total 10 825ml Free Lifebuoy Handwash Total 10 180ml,Rp78.500,Cashback 5%,Dilayani Tokopedia,5.0,14 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-lifebuoy-total-10-825ml-free-lifebuoy-handwash-total-10-180ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/5817ae8c-550b-438b-8c97-4db5661293d3.jpg,unilever
Pepsodent Nanosoft Isi 3 + Pepsodent Complete 8 Whitening 190g,Rp47.200,Cashback 5%,Dilayani Tokopedia,,4 terjual,Official Store,https://www.tokopedia.com/unilever/pepsodent-nanosoft-isi-3-pepsodent-complete-8-whitening-190g?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/116e9740-3ddd-4553-954a-f930a7c0ae89.jpg,unilever
Buy 3 Sunlight Jeruk Nipis 1500ml FREE Scrub Daddy,Rp89.800,Cashback 5%,Dilayani Tokopedia,5.0,70+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-3-sunlight-jeruk-nipis-1500ml-free-scrub-daddy?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/54b3e3a3-e904-49c8-aa80-895e375f6ec2.jpg,unilever
Pepsodent Nanosoft Sensitive Isi 3 + Pepsodent SME Relief&Protect 100g,Rp58.000,Cashback 5%,Dilayani Tokopedia,5.0,2 terjual,Official Store,https://www.tokopedia.com/unilever/pepsodent-nanosoft-sensitive-isi-3-pepsodent-sme-relief-protect-100g?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/62ed589f-4110-456e-9931-26658d727d1c.jpg,unilever
Buy 1 Bango 520ml + 2 Sunlight 1500ml Get 3 Indomie Goreng,Rp87.400,Cashback 5%,Dilayani Tokopedia,5.0,90+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-1-bango-520ml-2-sunlight-1500ml-get-3-indomie-goreng?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/10/6a6deaa0-2002-42f2-a613-3a85b1a768ab.png,unilever
2 Molto Perfume Beads Fresh Blossom 200G FREE Molto Anti Kusut 100ml,Rp94.500,Cashback 5%,Dilayani Tokopedia,,1 terjual,Official Store,https://www.tokopedia.com/unilever/2-molto-perfume-beads-fresh-blossom-200g-free-molto-anti-kusut-100ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/49a303a9-5a4a-4ba3-a0d5-9d5fb3fa883f.jpg,unilever
Buy 1 Bango 520ml + 2 Sunlight 910ml Get 2 Indomie Goreng,Rp63.000,Cashback 5%,Dilayani Tokopedia,5.0,60+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-1-bango-520ml-2-sunlight-910ml-get-2-indomie-goreng?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/10/b9a5e443-ab97-4ed9-bf0e-38a478b04317.png,unilever
Buy 2 Molto Pure Pewangi Pakaian Bayi 1.6L FREE Molto Anti Kusut 100ml,Rp111.200,Cashback 5%,Dilayani Tokopedia,,5 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-molto-pure-pewangi-pakaian-bayi-1-6l-free-molto-anti-kusut-100ml?extParam=whid%3D13056835%26src%3Dshop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/67f7a687-dd5f-401a-8b74-07dea8105cef.jpg,unilever
2 Molto Perfume Beads Luxury Perfume 200G FREE Molto Anti Kusut 100ml,Rp94.500,Cashback 5%,Dilayani Tokopedia,5.0,2 terjual,Official Store,https://www.tokopedia.com/unilever/2-molto-perfume-beads-luxury-perfume-200g-free-molto-anti-kusut-100ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/3d4903a5-1b0c-4f4c-b10b-9e2f23637b6a.jpg,unilever
Buy 2 Close Up Multivitamin 160g Get Close Up Korea Eucalyptus 100gr,Rp42.600,Cashback 5%,Dilayani Tokopedia,,9 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-close-up-multivitamin-160g-get-close-up-korea-eucalyptus-100gr?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/19/edfb11ed-e596-4fbe-b001-bf0df4e601c4.png,unilever
Buy 2 AXE Black 135ml Free AXE Ice Chill 135ml,Rp78.400,Cashback 5%,Dilayani Tokopedia,5.0,17 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-axe-black-135ml-free-axe-ice-chill-135ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/decb1c2b-567d-4f8d-ae53-3f4bb2ed549b.png,unilever
Buy 3 AXE Dark Temptation 135ml FREE AXE Apollo 135ml,Rp110.900,Cashback 5%,Dilayani Tokopedia,5.0,5 terjual,Official Store,https://www.tokopedia.com/unilever/buy-3-axe-dark-temptation-135ml-free-axe-apollo-135ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/10/22c91d20-ade9-438e-a3d8-f8681cebd3f6.png,unilever
Buy 2 Lifebuoy Mild Care 825ml Free Lifebuoy Handwash Mild Care 180ml,Rp78.500,Cashback 5%,Dilayani Tokopedia,5.0,9 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-lifebuoy-mild-care-825ml-free-lifebuoy-handwash-mild-care-180ml?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/1/16c55c88-769e-434e-9291-fa47ef67a9f9.jpg,unilever
Buy 3 Pepsodent Whitening 190gr Get Close Up Korea Eucalyptus 100gr,Rp64.000,Cashback 5%,Dilayani Tokopedia,5.0,40+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-3-pepsodent-whitening-190gr-get-close-up-korea-eucalyptus-100gr?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/10/aba56bde-fc84-412b-a279-bed74be26f05.png,unilever
Buy 2 Closeup Everfresh Green 160g Get Close Up Eucalyptus 100gr,Rp37.500,Cashback 5%,Dilayani Tokopedia,5.0,70+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-closeup-everfresh-green-160g-get-close-up-eucalyptus-100gr?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/10/98e433fb-c160-4ad6-9b81-ba62bce9cf05.png,unilever
Buy 2 Close Up Eaucalyptus 100g Get Close Up Korea Eaucalyptus 100gr,Rp57.100,Cashback 5%,Dilayani Tokopedia,5.0,9 terjual,Official Store,https://www.tokopedia.com/unilever/buy-2-close-up-eaucalyptus-100g-get-close-up-korea-eaucalyptus-100gr?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/10/ed733b2a-e5b4-49fa-a449-b1c1f6b7114f.png,unilever
Buy 3 Pepsodent Herbal 190gr Get Close Up Korea Spearmint 100gr,Rp54.900,Cashback 5%,Dilayani Tokopedia,5.0,40+ terjual,Official Store,https://www.tokopedia.com/unilever/buy-3-pepsodent-herbal-190gr-get-close-up-korea-spearmint-100gr?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/9/55a5cd3f-b2b2-4e5b-a5d5-b96011c2438c.png,unilever
IKEA Lunchbox,Rp10.000.000,Cashback 5%,Dilayani Tokopedia,,,Official Store,https://www.tokopedia.com/unilever/ikea-lunchbox?extParam=src%3Dshop%26whid%3D13056835,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/5/f40996f7-7474-4751-b7b8-7a28c2110bdf.jpg,unilever
Pond'S Men White Boost Face Moisturizer 20Ml isi 3,Rp102.800,Cashback 5%,Dilayani Tokopedia,5.0,18 terjual,Official Store,https://www.tokopedia.com/unilever/pond-s-men-white-boost-face-moisturizer-20ml-isi-3?extParam=whid%3D13056835%26src%3Dshop,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/9/27/ee107819-00fc-4362-ba83-de5f1c5b21e4.jpg,unilever
